Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

01:02:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:03:00 PM   11   26.26    0.00    1.01    0.00    1.01    0.00    0.00    0.00    0.00   71.72

01:03:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:03:01 PM  all   36.28    0.00    1.25    0.00    0.58    0.25    0.00    0.00    0.00   61.63
01:03:01 PM    0   58.82    0.00    0.00    0.00    0.98    0.98    0.00    0.00    0.00   39.22
01:03:01 PM    1   35.24    0.00    8.57    0.00    0.00    0.00    0.00    0.00    0.00   56.19
01:03:01 PM    2   36.36    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   62.63
01:03:01 PM    3   51.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   47.00
01:03:01 PM    4   26.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   73.00
01:03:01 PM    5   69.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   30.00
01:03:01 PM    6   52.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   48.00
01:03:01 PM    7   47.52    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   51.49
01:03:01 PM    8   10.20    0.00    1.02    0.00    1.02    0.00    0.00    0.00    0.00   87.76
01:03:01 PM    9   14.29    0.00    2.04    0.00    1.02    0.00    0.00    0.00    0.00   82.65
01:03:01 PM   10   14.29    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   83.67
01:03:01 PM   11   18.37    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   80.61

01:03:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:03:02 PM  all   12.94    0.00    2.45    0.25    1.10    0.42    0.00    0.00    0.00   82.83
01:03:02 PM    0   18.56    0.00    3.09    0.00    1.03    1.03    0.00    0.00    0.00   76.29
01:03:02 PM    1    7.00    0.00    2.00    0.00    2.00    1.00    0.00    0.00    0.00   88.00
01:03:02 PM    2   11.22    0.00    3.06    0.00    2.04    1.02    0.00    0.00    0.00   82.65
01:03:02 PM    3   24.49    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   74.49
01:03:02 PM    4   34.69    0.00    4.08    0.00    1.02    0.00    0.00    0.00    0.00   60.20
01:03:02 PM    5    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:03:02 PM    6   12.24    0.00    2.04    0.00    1.02    0.00    0.00    0.00    0.00   84.69
01:03:02 PM    7   15.31    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   82.65
01:03:02 PM    8    9.09    0.00    3.03    0.00    1.01    0.00    0.00    0.00    0.00   86.87
01:03:02 PM    9    8.00    0.00    4.00    0.00    1.00    1.00    0.00    0.00    0.00   86.00
01:03:02 PM   10    6.12    0.00    2.04    3.06    3.06    0.00    0.00    0.00    0.00   85.71
01:03:02 PM   11    9.09    0.00    2.02    0.00    1.01    1.01    0.00    0.00    0.00   86.87

01:03:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:03:03 PM  all   14.14    0.00    3.45    0.00    1.60    1.01    0.00    0.00    0.00   79.80
01:03:03 PM    0    9.09    0.00    2.02    0.00    1.01    2.02    0.00    0.00    0.00   85.86
01:03:03 PM    1   15.46    0.00    3.09    0.00    1.03    1.03    0.00    0.00    0.00   79.38
01:03:03 PM    2   15.15    0.00    3.03    0.00    2.02    2.02    0.00    0.00    0.00   77.78
01:03:03 PM    3   16.16    0.00    2.02    0.00    1.01    1.01    0.00    0.00    0.00   79.80
01:03:03 PM    4   21.21    0.00    3.03    0.00    1.01    1.01    0.00    0.00    0.00   73.74
01:03:03 PM    5    9.18    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   86.73
01:03:03 PM    6   17.00    0.00    4.00    0.00    1.00    1.00    0.00    0.00    0.00   77.00
01:03:03 PM    7   31.68    0.00    1.98    0.00    0.99    0.99    0.00    0.00    0.00   64.36
01:03:03 PM    8   11.11    0.00    5.05    0.00    1.01    1.01    0.00    0.00    0.00   81.82
01:03:03 PM    9    9.18    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   85.71
01:03:03 PM   10    7.00    0.00    5.00    0.00    7.00    0.00    0.00    0.00    0.00   81.00
01:03:03 PM   11    7.07    0.00    5.05    0.00    3.03    0.00    0.00    0.00    0.00   84.85

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   33.61    0.00    1.98    0.03    0.91    0.32    0.00    0.00    0.00   63.15
Average:       0   41.39    0.00    1.13    0.00    0.59    0.65    0.00    0.00    0.00   56.24
Average:       1   34.14    0.00    6.66    0.00    0.86    0.34    0.00    0.00    0.00   58.00
Average:       2   32.35    0.00    1.01    0.12    0.89    0.77    0.00    0.00    0.00   64.87
Average:       3   51.07    0.00    0.71    0.00    0.47    0.18    0.00    0.00    0.00   47.57
Average:       4   28.80    0.00    1.24    0.00    0.53    0.35    0.00    0.00    0.00   69.07
Average:       5   55.42    0.00    0.77    0.00    0.41    0.29    0.00    0.00    0.00   43.10
Average:       6   13.82    0.00    0.83    0.00    0.41    0.12    0.00    0.00    0.00   84.82
Average:       7   72.59    0.00    0.47    0.00    0.41    0.18    0.00    0.00    0.00   26.35
Average:       8   16.44    0.00    2.81    0.00    0.66    0.24    0.00    0.00    0.00   79.86
Average:       9   16.30    0.00    2.86    0.12    0.59    0.36    0.00    0.00    0.00   79.77
Average:      10   19.35    0.00    2.38    0.18    3.51    0.18    0.00    0.00    0.00   74.40
Average:      11   20.99    0.00    2.73    0.00    1.55    0.18    0.00    0.00    0.00   74.55
